,dataset,acc,auc,ap,prec,rec,f1,mitigation,mitigated_attribute,CFS_true,attribute,dpdiff,dpr,eoddsdiff,eoddsr,y_pred_CFS,sampling
92,ACS_P,0.6383024791599003,0.6305142718130078,0.4881811962233808,0.5497448979591837,0.1260602515355367,0.2050916012372115,balance_attribute,attribute_2,0.8818027083838871,attribute_1,0.0041741910349978,0.951870359764004,0.0071837212648668,0.8998509677583014,0.9201154435159185,RandomOverSampler
93,ACS_P,0.6383024791599003,0.6305142718130078,0.4881811962233808,0.5497448979591837,0.1260602515355367,0.2050916012372115,balance_attribute,attribute_2,0.8874889522878378,attribute_2,0.0523760613472606,0.5468210306958948,0.0951311731865913,0.4562096451631335,0.8949862745649256,RandomOverSampler
94,ACS_P,0.6368229223052218,0.6291780417108657,0.4864677953400164,0.540427314620863,0.1257677683533196,0.2040493514710534,balance_attribute,all,0.8818027083838871,attribute_1,0.0039591332096512,0.9549564593653256,0.0066329593775894,0.9055857503675038,0.9212419107617474,RandomOverSampler
95,ACS_P,0.6368229223052218,0.6291780417108657,0.4864677953400164,0.540427314620863,0.1257677683533196,0.2040493514710534,balance_attribute,all,0.8874889522878378,attribute_2,0.0538692165792827,0.5460396227850026,0.094727582604871,0.462150772592477,0.8998029101507482,RandomOverSampler
96,ACS_P,0.6467828660098878,0.6536926563126884,0.5096195275453179,0.5965417867435159,0.1412693770108218,0.228440800882863,balance_output_for_attribute,attribute_1,0.8818027083838871,attribute_1,0.0050753583470525,0.9435485394818456,0.0084192141471377,0.8617941765884711,0.9167056687426836,RandomOverSampler
97,ACS_P,0.6467828660098878,0.6536926563126884,0.5096195275453179,0.5965417867435159,0.1412693770108218,0.228440800882863,balance_output_for_attribute,attribute_1,0.8874889522878378,attribute_2,0.0631977352660732,0.5199345743638192,0.115264470534139,0.4521699883602156,0.9133737767955582,RandomOverSampler
98,ACS_P,0.6466385189996752,0.6491978793120392,0.5061546538369323,0.5991471215351812,0.1369796236716388,0.2229804792890017,balance_output_for_attribute,attribute_2,0.8818027083838871,attribute_1,0.0048897297094244,0.9436621276528492,0.0081711232069227,0.8606965243973059,0.91688944112028,RandomOverSampler
99,ACS_P,0.6466385189996752,0.6491978793120392,0.5061546538369323,0.5991471215351812,0.1369796236716388,0.2229804792890017,balance_output_for_attribute,attribute_2,0.8874889522878378,attribute_2,0.0579298824794188,0.5382731534399028,0.1646481425551192,0.3597016678412028,0.9090421226573226,RandomOverSampler
100,ACS_P,0.6478293818339288,0.6516639557147774,0.5080736696742776,0.6034912718204489,0.1415618601930389,0.2293295427623785,balance_output_for_attribute,all,0.8818027083838871,attribute_1,0.0060688282118386,0.9322050320915184,0.0105359260490525,0.8512943412598393,0.9120111817953468,RandomOverSampler
101,ACS_P,0.6478293818339288,0.6516639557147774,0.5080736696742776,0.6034912718204489,0.1415618601930389,0.2293295427623785,balance_output_for_attribute,all,0.8874889522878378,attribute_2,0.0799306883177165,0.4545905973614634,0.1646481425551192,0.3597016678412028,0.9102357530000824,RandomOverSampler
